DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C-LOFF	C-LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
49	1	36	004	A28-02-2000		01-03-2000	01-03-2000	61					49326	0	34				1	Andard		
49	1	36	004	A28-02-2000		01-03-2000	01-03-2000	63					49326	0	34				1	Andard		
49	1	98	007	A10-02-2011		01-01-2012	01-01-2012	61					49015	0	2				0	Angers		
49	1	98	007	A10-02-2011		01-01-2012	01-01-2012	63					49015	0	3				0	Angers		
49	1	98	007	D14-12-2005	21-12-2005	22-12-2005	22-12-2005	61					49278	0	0				1	Angers		
49	3	34	012	D08-06-1994	12-06-1994	13-06-1994	13-06-1994	10											1	Aubigné-sur-Layon	1	Aubigné
49	1	41	015	A10-02-2011		01-01-2012	01-01-2012	61					49007	0	3				0	Avrillé		
49	1	41	015	A10-02-2011		01-01-2012	01-01-2012	63					49007	0	2				0	Avrillé		
49			016	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	33					49328						0	Bagneux		
49	3	04	018	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	11											0	Baugé-en-Anjou	0	Baugé
49	3	04	018	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	34			4	1	49213						0	Baugé-en-Anjou		
49	3	04	018	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	34			4	2	49245						0	Baugé-en-Anjou		
49	3	04	018	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	34			4	3	49303						0	Baugé-en-Anjou		
49	3	04	018	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	34			4	4	49372						0	Baugé-en-Anjou		
49	1	23	029	A09-11-1982		01-12-1982	01-12-1982	36					49152						0	Blaison-Gohier		
49	1	23	029	A28-02-1974	12-04-1974	01-03-1974	01-03-1974	11											0	Blaison-Gohier	0	Blaison
49	1	23	029	A28-02-1974	12-04-1974	01-03-1974	01-03-1974	34			1	1	49152						0	Blaison-Gohier		
49	3	27	045	D08-03-1958	12-03-1958	13-03-1958	13-03-1958	10											3	Breille-les-Pins	3	Breille
49	1	32	050	A11-05-1964	18-07-1964	01-06-1964	01-06-1964	11											0	Brissac-Quincé	0	Brissac
49	1	32	050	A11-05-1964	18-07-1964	01-06-1964	01-06-1964	32			1	1	49255						0	Brissac-Quincé		
49	2	12	058	D07-08-1996	10-08-1996	11-08-1996	11-08-1996	10											4	Cerqueux	4	Cerqueux-de-Maulévrier
49	4	10	067	D02-03-1962	07-03-1962	08-03-1962	08-03-1962	10											0	Champteussé-sur-Baconne	0	Champteussé
49	1	26	068	A28-02-2000		01-03-2000	01-03-2000	61					49284	0	12				0	Champtocé-sur-Loire		
49	1	26	068	A28-02-2000		01-03-2000	01-03-2000	63					49284	0	12				0	Champtocé-sur-Loire		
49	4	30	077	A08-12-2010		01-01-2011	01-01-2011	61					49331	0	13				3	Chapelle-sur-Oudon		
49	4	30	077	A08-12-2010		01-01-2011	01-01-2011	63					49331	0	2				3	Chapelle-sur-Oudon		
49	1	32	078	A24-11-1972	20-12-1972	01-01-1973	01-01-1973	11											0	Charcé-Saint-Ellier-sur-Aubance	0	Charcé
49	1	32	078	A24-11-1972	20-12-1972	01-01-1973	01-01-1973	32			1	1	49275						0	Charcé-Saint-Ellier-sur-Aubance		
